Feature,Importance
day_6,21.839875188254428
day_7,20.50475321911465
day_5,16.42628772554699
day_4,8.549779373908986
 day_3,7.799591713955684
 day_2,6.068203471783719
day_1,3.5117545392705787
lasting_date,2.8532598057776375
year,2.4104947914892043
month,1.8774085502634585
day_0,1.7662158234664929
holiday,1.4233846359612006
weekday,1.2678711939567247
Avg_Review_Length,0.849996412950023
Weighted_Sentiment_Score,0.7601498797344559
show_place,0.7463464555171135
trend_slope,0.542241455371386
类型_战争,0.15451017178764512
类型_家庭,0.14852790882567396
类型_剧情,0.10362350360270393
类型_犯罪,0.07693655605226107
类型_喜剧,0.07551018859467334
类型_动作,0.05348693907981137
类型_历史,0.04622890721378986
类型_冒险,0.04497604849426968
类型_悬疑,0.04242081151266027
类型_爱情,0.029420948254269514
类型_科幻,0.026743780259616233
id,0.0
