holiday,show_place,类型_剧情,类型_动作,类型_犯罪,类型_悬疑,类型_爱情,类型_科幻,类型_喜剧,类型_冒险,类型_战争,类型_历史,类型_家庭,year,month,weekday,lasting_date,Avg_Review_Length,Weighted_Sentiment_Score,trend_slope,day_0,day_1, day_2, day_3,day_4,day_5,day_6,day_7,res_fc_feature
工作日,中国大陆,0,1,0,0,0,0,0,0,1,1,0,2019,6,4,43,36.1818181818182,1.77673583222245,-0.150694315223382,144.88,63.93,66.94,80.49,87.46,91.4,96.69,97.54,532.07654
工作日,中国大陆/中国台湾,1,0,0,0,1,0,0,0,0,0,0,2019,6,4,29,41.986183074266,2.08801788736898,0.0,471.91,307.47,215.02,100.39,95.18,93.04,105.02,16.46,989.4003
工作日,中国大陆,1,0,0,0,1,0,0,0,0,0,0,2019,6,3,55,59.9299145299145,2.22964889687202,0.0643500377263642,2519.72,5604.05,5474.92,4076.29,2373.4,2056.96,1783.19,1575.86,29217.453
工作日,中国大陆,0,0,1,1,0,0,0,0,0,0,0,2019,6,4,29,85.8697123519458,2.18062703443858,2.67506952579337,770.93,727.8,532.19,229.98,187.08,170.23,146.56,24.32,652.96594
劳动节,中国大陆,0,0,0,1,0,0,0,0,0,0,0,2021,5,5,31,80.388698630137,2.50206896648279,0.0,8073.79,4571.24,2994.31,2159.42,1278.76,439.4,369.63,445.91,12953.589
劳动节,中国香港/中国大陆,1,1,1,0,0,0,0,0,0,0,0,2021,5,5,45,61.8254237288136,2.50723029840139,0.0364769750312108,5467.21,3577.26,2989.9,2377.07,1760.84,1054.49,926.08,1096.01,9321.853
劳动节,中国大陆,0,0,0,0,0,0,1,0,0,0,0,2021,5,5,31,53.1836734693878,1.66433254478907,0.0689519002063975,2247.52,748.89,483.31,322.18,184.54,58.7,49.34,58.92,1003.55145
劳动节,中国大陆,1,1,1,0,0,0,0,0,0,0,0,2021,5,5,61,65.6853741496599,3.02817636320108,0.126410761924112,2065.11,2278.06,2399.95,2624.03,2111.66,1509.79,1986.67,3120.17,30094.713
劳动节,中国大陆/中国香港,0,0,0,0,0,0,1,0,0,0,0,2021,5,5,27,78.2859618717504,3.18026943403219,-4.48597845338221e-17,79.65,44.16,34.21,32.74,25.2,18.85,19.81,25.77,528.3538
工作日,中国大陆,1,0,0,0,1,0,0,0,0,0,0,2021,5,3,41,82.4055459272097,2.72204595419315,0.0257815901423811,9977.21,3160.06,3779.06,2756.74,1207.8,1023.3,946.02,937.32,28628.031
工作日,中国香港/中国大陆,0,0,0,0,1,0,1,0,0,0,0,2021,5,4,28,51.0477815699659,2.36697247444985,-0.0414511447756424,1073.08,834.08,521.4,211.87,164.85,152.53,138.87,12.13,1220.2672
劳动节,中国大陆/中国香港,0,1,0,0,0,0,0,0,0,0,0,2021,5,5,27,68.7469879518072,2.20421580155546,-0.0425597374804212,569.49,269.86,202.93,145.92,104.88,41.64,29.02,30.16,590.15106
工作日,中国大陆,0,0,0,0,1,0,1,0,0,0,0,2021,4,4,28,61.7677642980936,1.97644782338142,0.0,987.88,849.82,484.68,224.2,102.94,83.89,70.52,32.81,572.9724
工作日,中国大陆,0,0,0,0,1,0,0,0,0,0,0,2021,4,4,61,71.6511226252159,2.20015872414614,-0.315021811805249,14191.02,15482.93,12813.64,9883.02,7860.03,5191.9,2380.11,1756.72,75889.984
工作日,中国大陆,0,0,0,0,0,0,0,1,0,0,0,2021,4,4,21,58.5393835616438,2.6147011691885,-0.215641336168826,331.75,235.88,137.83,50.25,40.9,38.12,33.24,8.02,661.5163
工作日,中国大陆,1,0,0,0,0,0,0,0,0,0,1,2021,4,4,64,109.434563758389,2.66523518901273,-0.0265115508970767,6239.37,13766.2,14897.21,9230.9,3207.8,2617.45,2165.53,3199.81,66074.35
工作日,中国大陆,0,1,0,0,0,0,0,0,0,0,0,2021,4,4,34,65.8890784982935,2.16787734249324,-0.457110600163814,672.19,2076.0,2050.3,1422.53,191.62,170.36,146.51,193.11,736.6983
工作日,中国大陆,1,0,0,0,0,0,1,0,0,0,0,2021,4,4,30,98.4873949579832,3.60289152035243,-3.14018491736755e-16,1281.21,1192.9,928.75,593.81,244.11,244.37,227.03,205.66,1914.4332
工作日,中国大陆,1,0,0,0,0,0,0,0,0,0,0,2023,11,4,77,82.3149741824441,2.15323194520157,-0.0957009945065312,1221.82,1619.02,966.53,372.88,305.87,256.15,195.09,242.36,3199.368
工作日,中国大陆/中国香港,0,0,0,0,1,0,0,0,0,0,0,2023,11,4,28,37.7322695035461,2.16249205014051,-0.0283367834442385,343.85,201.9,67.71,31.51,25.82,21.31,14.52,2.36,698.7332
休息日,中国台湾,1,0,1,1,0,0,0,0,0,0,0,2023,11,5,29,84.7341337907376,3.22610193762161,0.0,893.94,431.84,148.36,121.39,98.89,91.24,53.65,90.66,753.87054
工作日,中国大陆,1,0,1,1,0,0,0,0,0,0,0,2023,11,2,58,77.3777403035413,2.36319842950718,-0.0461098730896905,1702.81,1771.97,3268.26,5985.56,3958.97,1465.35,1365.27,1396.51,45021.14
工作日,中国大陆,1,0,0,0,0,0,0,0,1,1,0,2023,11,4,35,36.8472222222222,2.06299248453428,-0.202604734820479,19.36,3.42,4.62,4.63,7.0,7.93,10.76,10.45,546.2264
工作日,中国大陆,1,0,0,0,0,0,0,0,0,1,0,2023,11,4,36,81.4131944444444,3.02524129956868,-0.28358543582383,71.62,270.69,244.54,13.13,11.69,13.02,11.27,6.99,779.5335
工作日,中国大陆/中国香港,1,0,0,0,0,0,0,0,0,0,0,2023,11,4,27,69.7106598984772,3.09621939565404,-0.0206750611553425,107.23,166.79,66.39,20.99,15.57,13.96,11.52,2.56,971.70074
工作日,中国大陆,1,0,0,1,0,0,0,0,0,0,0,2023,11,4,35,68.4348591549296,2.23079649257364,0.0629284123806767,1248.32,1580.42,774.15,261.74,246.92,219.41,162.2,88.07,492.43103
工作日,中国大陆,0,0,0,0,1,0,0,0,0,0,0,2020,12,4,32,53.3350427350427,1.60713102713834,0.0414091191048559,4949.17,6239.8,4289.94,2108.56,1697.79,1366.94,1223.26,1483.62,21076.844
工作日,中国大陆,0,0,0,0,1,0,0,0,0,0,0,2020,12,4,20,81.8965517241379,2.0657122177074,0.0,9520.03,7006.64,6094.44,3356.59,2836.83,2784.74,2465.22,3147.29,31705.434
工作日,中国大陆/中国香港,1,0,0,0,1,0,0,0,0,0,0,2020,12,3,30,42.7551020408163,1.87270147595734,0.464239823915936,3508.24,1631.83,848.16,405.18,162.62,117.21,113.39,40.78,1041.9674
工作日,中国大陆/中国香港,0,1,1,0,0,0,0,0,0,0,0,2020,12,3,49,110.782905982906,3.766792831672,0.0,7902.07,10656.75,12759.82,10541.29,4785.05,3940.72,3923.6,5487.58,109523.93
工作日,中国大陆,1,0,0,0,0,0,0,0,0,0,0,2020,12,3,42,72.0083752093802,3.54130094701513,-0.0724503267923609,23668.02,25647.97,17051.75,9802.14,4309.72,3733.69,3151.4,2628.89,101397.25
工作日,中国香港,1,1,1,0,0,0,0,0,0,0,0,2018,9,4,31,47.8330434782609,2.75779408091915,0.329042687916919,7369.15,7919.13,4985.26,3381.72,2629.26,2284.53,2000.88,1190.6,29128.22
工作日,中国大陆/中国香港,1,1,0,0,0,0,0,0,0,0,0,2018,9,6,60,109.195840554593,3.35097105602824,-0.0141469911125768,6615.65,8214.05,6982.17,6131.82,5133.56,4542.22,4408.64,3323.48,45930.207
工作日,中国大陆,0,1,1,0,0,0,0,0,0,0,0,2018,9,4,30,50.9123711340206,2.25198698760704,-0.153846153846154,4751.62,5404.89,5617.37,5442.8,2256.84,1955.67,1694.37,1611.39,17297.363
工作日,中国大陆,0,0,0,0,0,0,1,0,0,0,0,2018,9,6,61,54.7741379310345,2.04418881335242,0.0,10663.01,10867.02,8350.99,6284.42,4999.69,4166.86,3730.19,2581.76,47381.8
休息日,中国大陆,0,0,0,0,0,0,1,1,0,0,0,2018,9,5,30,36.6115843270869,3.09350410440347,0.41182973787813,853.73,962.79,1200.3,34.06,26.87,21.31,30.42,43.5,677.6374
工作日,中国大陆,1,0,0,0,1,0,0,0,0,0,0,2018,9,4,61,79.0657439446367,2.68212902623037,0.220076929695287,1279.59,2589.19,3969.05,4464.67,1939.93,1901.45,1701.56,1944.57,24991.24
